0,2.14,2,0,0
0,2.2,2,0,0
0,0.3,0,0,0.1
0,2.2,2,2,0.1
0,2.2,2,2,2
0,2.2,2,2,2
0,2.2,2,2,0.1
0,0.3,0,0,0.1
0,0.3,0,0,0
1,0.3,0,0,0
0,0.3,0,0,0.1
1,2.14,2,2,1.1
1,1.6,1,1,1.1
2,1.6,1,1,1
2,1.6,1,1,1
2,1.6,1,1,1
1,1.6,1,1,1
2,1.6,1,1,2.1
2,1.6,0,0,2.1
0,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,0
1,0.3,0,0,0
2,0.3,0,0,2.1
2,0.3,0,0,2.1
2,0.3,0,0,2.1
2,2.8,2,0,2.1
2,0.3,0,0,2.1
2,0.3,0,0,2.1
2,2.8,2,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,1.12,1,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
2,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
2,1.12,1,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
3,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
3,2.1,2,2,2
3,2.1,2,2,2
3,2.14,2,2,2
3,2.14,2,2,2
0,2.14,2,2,2
0,2.14,2,2,2
0,2.14,2,2,2
1,1.12,1,2,2
1,1.12,1,2,2
1,2.14,2,2,2
1,1.12,1,2,1.1
0,1.12,0,0,0.1
2,0.3,0,0,0
2,0.3,0,0,0
2,0.3,0,0,2.1
1,2.14,2,2,1.1
2,2.14,2,2,2
1,4.111,4,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,1.12,1,2,2
3,2.14,2,2,2
3,2.1,2,2,2
3,2.14,2,2,2
